data_vendita,cliente_id,eta_cliente,genere,categoria_prodotto,importo_speso,mese,nome_mese
2024-01-02,1156,50,F,Casa,122.24,1,Gennaio
2024-01-02,1092,48,M,Sport,58.55,1,Gennaio
2024-01-02,1158,29,M,Sport,51.07,1,Gennaio
2024-01-05,1266,23,M,Elettronica,54.28,1,Gennaio
2024-01-09,1170,40,F,Alimentari,92.35,1,Gennaio
2024-01-09,1173,67,M,Elettronica,96.51,1,Gennaio
2024-01-13,1193,33,M,Alimentari,35.26,1,Gennaio
2024-01-14,1028,54,M,Casa,79.32,1,Gennaio
2024-01-15,1144,46,M,Casa,92.89,1,Gennaio
2024-01-15,1045,25,M,Alimentari,74.34,1,Gennaio
2024-01-21,1284,46,M,Sport,78.76,1,Gennaio
2024-01-21,1157,25,F,Elettronica,51.38,1,Gennaio
2024-01-22,1232,44,M,Sport,85.87,1,Gennaio
2024-01-28,1227,33,M,Casa,86.8,1,Gennaio
2024-01-28,1203,43,F,Abbigliamento,75.1,1,Gennaio
2024-01-29,1153,57,F,Sport,102.63,1,Gennaio
2024-02-02,1071,32,F,Elettronica,90.34,2,Febbraio
2024-02-04,1031,39,F,Casa,45.94,2,Febbraio
2024-02-04,1003,50,F,Casa,129.14,2,Febbraio
2024-02-05,1102,69,F,Elettronica,124.36,2,Febbraio
2024-02-06,1275,67,M,Alimentari,120.74,2,Febbraio
2024-02-08,1230,68,M,Abbigliamento,123.71,2,Febbraio
2024-02-10,1071,65,F,Sport,115.87,2,Febbraio
2024-02-10,1235,63,M,Alimentari,117.05,2,Febbraio
2024-02-11,1079,61,M,Elettronica,109.66,2,Febbraio
2024-02-13,1177,40,M,Sport,92.77,2,Febbraio
2024-02-13,1026,20,M,Sport,65.49,2,Febbraio
2024-02-14,1261,45,F,Casa,79.29,2,Febbraio
2024-02-17,1063,45,F,Abbigliamento,100.67,2,Febbraio
2024-02-18,1036,47,F,Sport,102.56,2,Febbraio
2024-02-19,1270,49,M,Casa,121.4,2,Febbraio
2024-02-20,1011,36,F,Alimentari,91.32,2,Febbraio
2024-02-21,1241,62,F,Abbigliamento,143.83,2,Febbraio
2024-02-21,1036,31,M,Alimentari,80.62,2,Febbraio
2024-02-22,1011,57,F,Alimentari,104.2,2,Febbraio
2024-02-22,1057,63,M,Abbigliamento,115.54,2,Febbraio
2024-02-22,1095,47,F,Abbigliamento,82.51,2,Febbraio
2024-02-23,1074,20,M,Sport,48.34,2,Febbraio
2024-02-23,1164,51,M,Elettronica,90.49,2,Febbraio
2024-02-23,1003,43,F,Sport,94.77,2,Febbraio
2024-02-24,1021,52,F,Abbigliamento,88.04,2,Febbraio
2024-02-28,1277,50,F,Abbigliamento,104.21,2,Febbraio
2024-02-29,1079,29,F,Casa,53.35,2,Febbraio
2024-03-02,1204,51,M,Elettronica,90.0,3,Marzo
2024-03-02,1072,72,M,Casa,109.58,3,Marzo
2024-03-03,1023,24,M,Casa,79.12,3,Marzo
2024-03-03,1091,22,M,Sport,36.48,3,Marzo
2024-03-05,1007,72,M,Abbigliamento,150.74,3,Marzo
2024-03-06,1122,73,F,Sport,118.45,3,Marzo
2024-03-08,1275,52,F,Sport,102.21,3,Marzo
2024-03-12,1022,37,F,Sport,98.79,3,Marzo
2024-03-15,1206,21,F,Sport,52.73,3,Marzo
2024-03-21,1038,38,M,Alimentari,70.52,3,Marzo
2024-03-21,1092,63,M,Alimentari,105.11,3,Marzo
2024-03-21,1014,53,F,Abbigliamento,94.94,3,Marzo
2024-03-26,1142,36,M,Casa,86.77,3,Marzo
2024-03-28,1076,65,F,Elettronica,131.74,3,Marzo
2024-03-29,1226,52,F,Alimentari,105.39,3,Marzo
2024-04-01,1225,48,F,Alimentari,99.1,4,Aprile
2024-04-05,1287,68,M,Elettronica,116.18,4,Aprile
2024-04-05,1001,49,F,Alimentari,88.71,4,Aprile
2024-04-06,1224,33,M,Abbigliamento,45.33,4,Aprile
2024-04-07,1236,73,F,Elettronica,141.47,4,Aprile
2024-04-08,1163,57,F,Abbigliamento,72.38,4,Aprile
2024-04-08,1276,40,M,Sport,101.67,4,Aprile
2024-04-08,1284,53,F,Casa,94.29,4,Aprile
2024-04-08,1063,43,F,Sport,85.93,4,Aprile
2024-04-09,1011,29,F,Abbigliamento,59.91,4,Aprile
2024-04-10,1242,66,M,Abbigliamento,115.42,4,Aprile
2024-04-10,1216,66,F,Elettronica,139.02,4,Aprile
2024-04-12,1038,24,F,Sport,59.92,4,Aprile
2024-04-12,1234,50,M,Elettronica,68.18,4,Aprile
2024-04-13,1250,67,F,Abbigliamento,126.56,4,Aprile
2024-04-15,1287,35,M,Casa,87.14,4,Aprile
