Data,Negozio,Prodotto,Categoria,Quantità,Prezzo_unitario
2026-01-04,Bologna,Smartwatch,Dispositivo indossabile,15,1477.39
2026-03-31,Torino,Laptop,Informatica,83,244.95
2025-12-20,Torino,Tablet,Informatica,24,1319.23
2026-07-29,Roma,Tablet,Informatica,30,464.06
2026-04-03,Bologna,Smartwatch,Dispositivo indossabile,33,643.27
2025-10-15,Torino,Tablet,Informatica,89,617.9
2025-11-21,Roma,Tablet,Informatica,60,764.41
2026-04-01,Napoli,Tablet,Informatica,55,1967.3
2026-02-01,Torino,TV,Elettrodomestici,7,382.52
2026-03-09,Roma,Tablet,Informatica,89,1932.98
2026-05-23,Roma,Smartphone,Elettronica,90,240.46
2026-08-29,Bologna,Tablet,Informatica,71,1239.49
2026-06-14,Napoli,Smartphone,Elettronica,36,405.36
2025-09-25,Roma,Tablet,Informatica,54,111.06
2026-04-29,Bologna,Laptop,Informatica,74,1794.91
2026-06-20,Bologna,Smartphone,Elettronica,62,684.39
2026-04-19,Torino,Laptop,Informatica,53,1194.16
2026-04-28,Bologna,Tablet,Informatica,41,627.73
2026-07-21,Milano,Smartphone,Elettronica,71,875.63
2026-01-30,Bologna,TV,Elettrodomestici,81,1437.12
2026-07-09,Napoli,Smartwatch,Dispositivo indossabile,41,1834.17
2026-04-12,Bologna,Laptop,Informatica,33,173.94
2025-11-24,Torino,TV,Elettrodomestici,44,1293.24
2025-10-28,Milano,TV,Elettrodomestici,47,1440.83
2026-06-07,Torino,Laptop,Informatica,14,1012.9
2026-04-18,Roma,Laptop,Informatica,77,443.35
2026-09-10,Milano,Tablet,Informatica,96,1406.26
2026-05-12,Torino,TV,Elettrodomestici,29,496.16
2026-03-02,Napoli,TV,Elettrodomestici,86,1766.91
2026-03-12,Torino,Smartphone,Elettronica,6,940.24
